OFFSET,TOKEN,LEMMA,UPOS,XPOS,MORPH,HEAD,DEPREL,,,SMWE,,LEXLEMMA,SS,SS2
4,erkältet,erkältet,ADJD,ADJD,_,16,dobj,_,_,_,_,_,_,_
5,bin,bin,VAFIN,VAFIN,_,16,aux,_,_,_,_,_,_,_
6,ich,ich,PPER,PPER,_,16,nsubj,_,_,_,_,_,_,_
7,gar,gar,ADV,ADV,_,8,advmod,_,_,_,_,_,_,_
8,nicht,nicht,PTKNEG,PTKNEG,_,16,neg,_,_,_,_,_,_,_
9,...,...,$[,$[,_,8,punct,_,_,_,_,_,_,_
10,Der,der,ART,ART,_,12,det,_,_,_,_,_,_,_
11,nächtliche,nächtliche,ADJA,ADJA,_,12,amod,_,_,_,_,_,_,_
12,Wind,wind,NOUN,NN,Number=Sing,16,nsubj,_,_,_,_,_,_,_
13,wird,wird,VAFIN,VAFIN,_,16,aux,_,_,_,_,_,_,_
14,mir,mir,PPER,PPER,_,16,iobj,_,_,_,_,mir,p.Experiencer,p.Beneficiary
15,gut,gut,ADJD,ADJD,_,16,advmod,_,_,_,_,_,_,_
16,tun,tun,VVINF,VVINF,_,0,root,_,_,_,_,_,_,_
17,.,.,$.,$.,_,16,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Ich bin eine Blume . '',,,,,,,,,,,,,,
1,Ich,ich,PPER,PPER,_,4,nsubj,_,_,_,_,_,_,_
2,bin,bin,VAFIN,VAFIN,_,4,cop,_,_,_,_,_,_,_
3,eine,eine,ART,ART,_,4,det,_,_,_,_,_,_,_
4,Blume,blume,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
5,.,.,$.,$.,_,4,punct,_,_,_,_,_,_,_
6,'','',VVPP,VVPP,_,4,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = - `` Aber die Insekten ... '',,,,,,,,,,,,,,
1,-,-,$[,$[,_,5,punct,_,_,_,_,_,_,_
2,``,``,TRUNC,TRUNC,_,5,punct,_,_,_,_,_,_,_
3,Aber,aber,KON,KON,_,5,cc,_,_,_,_,_,_,_
4,die,die,ART,ART,_,5,det,_,_,_,_,_,_,_
5,Insekten,insekten,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
6,...,...,$[,$[,_,5,punct,_,_,_,_,_,_,_
7,'','',VVFIN,VVFIN,_,5,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = - `` Ich muss schon zwei oder drei Raupen aushalten , wenn ich die Schmetterlinge kennenlernen will .",,,,,,,,,,,,,,
1,-,-,$[,$[,_,10,punct,_,_,_,_,_,_,_
2,``,``,ADV,ADV,_,10,punct,_,_,_,_,_,_,_
3,Ich,ich,PPER,PPER,_,10,nsubj,_,_,_,_,_,_,_
4,muss,muss,VVFIN,VVFIN,_,10,aux,_,_,_,_,_,_,_
5,schon,schon,ADV,ADV,_,6,advmod,_,_,_,_,_,_,_
6,zwei,zwei,CARD,CARD,_,9,nummod,_,_,_,_,_,_,_
7,oder,oder,KON,KON,_,6,cc,_,_,_,_,_,_,_
8,drei,drei,CARD,CARD,_,6,conj,_,_,_,_,_,_,_
9,Raupen,raupen,NOUN,NN,Number=Sing,10,nmod,_,_,_,_,_,_,_
10,aushalten,aushalten,VVPP,VVPP,_,0,root,_,_,_,_,_,_,_
11,",",",","$,","$,",_,10,punct,_,_,_,_,_,_,_
12,wenn,wenn,KOUS,KOUS,_,16,mark,_,_,_,_,_,_,_
13,ich,ich,PPER,PPER,_,16,nsubj,_,_,_,_,_,_,_
14,die,die,ART,ART,_,15,det,_,_,_,_,_,_,_
15,Schmetterlinge,schmetterlinge,NOUN,NN,Number=Sing,16,dobj,_,_,_,_,_,_,_
16,kennenlernen,kennenlernen,VVINF,VVINF,_,10,advcl,_,_,_,_,_,_,_
17,will,will,VMFIN,VMFIN,_,16,aux,_,_,_,_,_,_,_
18,.,.,$.,$.,_,10,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Sie sollen so wunderschön sein .,,,,,,,,,,,,,,
1,Sie,sie,PPER,PPER,_,4,nsubj,_,_,_,_,_,_,_
2,sollen,sollen,VMFIN,VMFIN,_,4,aux,_,_,_,_,_,_,_
3,so,so,ADV,ADV,_,4,advmod,_,_,_,_,_,_,_
4,wunderschön,wunderschön,ADJD,ADJD,_,0,root,_,_,_,_,_,_,_
5,sein,sein,VAINF,VAINF,_,4,aux,_,_,_,_,_,_,_
6,.,.,$.,$.,_,4,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Wer wird mich ansonsten besuchen ?,,,,,,,,,,,,,,
1,Wer,wer,PWS,PWS,_,5,nsubj,_,_,_,_,_,_,_
2,wird,wird,VAFIN,VAFIN,_,5,aux,_,_,_,_,_,_,_
3,mich,mich,PPER,PPER,_,5,dobj,_,_,_,_,_,_,_
4,ansonsten,ansonsten,ADV,ADV,_,5,advmod,_,_,_,_,_,_,_
5,besuchen,besuchen,VVINF,VVINF,_,0,root,_,_,_,_,_,_,_
6,?,?,$.,$.,_,5,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Du wirst weit fort sein .,,,,,,,,,,,,,,
1,Du,du,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
2,wirst,wirst,VAFIN,VAFIN,_,0,root,_,_,_,_,_,_,_
3,weit,weit,ADJD,ADJD,_,2,advmod,_,_,_,_,_,_,_
4,fort,fort,PTKVZ,PTKVZ,_,5,xcomp,_,_,_,_,_,_,_
5,sein,sein,VAINF,VAINF,_,2,xcomp,_,_,_,_,_,_,_
6,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Was die großen Tiere angeht , habe ich keine Angst .",,,,,,,,,,,,,,
1,Was,was,PWS,PWS,_,5,nsubj,_,_,_,_,_,_,_
2,die,die,ART,ART,_,4,det,_,_,_,_,_,_,_
3,großen,großen,ADJA,ADJA,_,4,amod,_,_,_,_,_,_,_
4,Tiere,tiere,NOUN,NN,Number=Sing,5,dobj,_,_,_,_,_,_,_
5-1,an,angeht,VVFIN,VVFIN,_,10,csubj,_,_,_,_,_,p.Topic,p.Topic
5-2,geht,angeht,VVFIN,VVFIN,_,10,csubj,_,_,_,_,_,_,_
6,",",",","$,","$,",_,10,punct,_,_,_,_,_,_,_
7,habe,habe,VAFIN,VAFIN,_,10,aux,_,_,_,_,_,_,_
8,ich,ich,PPER,PPER,_,10,nsubj,_,_,_,_,_,_,_
9,keine,keine,PIAT,PIAT,_,10,neg,_,_,_,_,_,_,_
10,Angst,angst,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
11,.,.,$.,$.,_,10,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Ich habe meine Dornen . '',,,,,,,,,,,,,,
1,Ich,ich,PPER,PPER,_,4,nsubj,_,_,_,_,_,_,_
2,habe,habe,VAFIN,VAFIN,_,4,aux,_,_,_,_,_,_,_
3,meine,meine,PPOSAT,PPOSAT,_,4,det,_,_,_,_,meine,p.Possessor,p.Possessor
4,Dornen,dornen,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
5,.,.,$.,$.,_,4,punct,_,_,_,_,_,_,_
6,'','',VVPP,VVPP,_,4,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Leichtgläubig zeigte sie ihre vier Dornen .,,,,,,,,,,,,,,
1,Leichtgläubig,leichtgläubig,NE,NE,_,2,advmod,_,_,_,_,_,_,_
2,zeigte,zeigte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,sie,sie,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
4,ihre,ihre,PPOSAT,PPOSAT,_,6,det,_,_,_,_,ihre,p.Possessor,p.Possessor
5,vier,vier,CARD,CARD,_,6,nummod,_,_,_,_,_,_,_
6,Dornen,dornen,NOUN,NN,Number=Sing,2,dobj,_,_,_,_,_,_,_
7,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Dann fügte sie hinzu : - `` Trödel nicht so rum , das ist ärgerlich .",,,,,,,,,,,,,,
1,Dann,dann,ADV,ADV,_,2,advmod,_,_,_,_,_,_,_
2,fügte,fügte,VVFIN,VVFIN,_,11,appos,_,_,_,_,_,_,_
3,sie,sie,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
4,hinzu,hinzu,PTKVZ,PTKVZ,_,2,mark,_,_,_,_,_,_,_
5,:,:,$.,$.,_,2,punct,_,_,_,_,_,_,_
6,-,-,$[,$[,_,8,punct,_,_,_,_,_,_,_
7,``,``,VVFIN,VVFIN,_,8,punct,_,_,_,_,_,_,_
8,Trödel,trödel,NOUN,NN,Number=Sing,11,nsubj,_,_,_,_,_,_,_
9,nicht,nicht,PTKNEG,PTKNEG,_,10,neg,_,_,_,_,_,_,_
10,so,so,ADV,ADV,_,11,advmod,_,_,_,_,_,_,_
11,rum,rum,PTKVZ,PTKVZ,_,0,root,_,_,_,_,_,_,_
12,",",",","$,","$,",_,11,punct,_,_,_,_,_,_,_
13,das,das,PDS,PDS,_,15,nsubj,_,_,_,_,_,_,_
14,ist,ist,VAFIN,VAFIN,_,15,cop,_,_,_,_,_,_,_
15,ärgerlich,ärgerlich,ADJD,ADJD,_,11,ccomp,_,_,_,_,_,_,_
16,.,.,$.,$.,_,11,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Du hast entschieden fortzugehen .,,,,,,,,,,,,,,
1,Du,du,PPER,PPER,_,4,nsubj,_,_,_,_,_,_,_
2,hast,hast,VAFIN,VAFIN,_,4,cop,_,_,_,_,_,_,_
3,entschieden,entschieden,ADJD,ADJD,_,4,advmod,_,_,_,_,_,_,_
4,fortzugehen,fortzugehen,VVPP,VVPP,_,0,root,_,_,_,_,_,_,_
5,.,.,$.,$.,_,4,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Mach dich auf den Weg ! '',,,,,,,,,,,,,,
1,Mach,mach,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
2,dich,dich,PRF,PRF,_,1,dobj,_,_,_,_,_,_,_
3,auf,auf,APPR,APPR,_,5,case,_,_,_,_,auf,p.Locus,p.Goal
4,den,den,ART,ART,_,5,det,_,_,_,_,_,_,_
5,Weg,weg,NOUN,NN,Number=Sing,2,nmod,_,_,_,_,_,_,_
6,!,!,$.,$.,_,1,punct,_,_,_,_,_,_,_
7,'','',VVFIN,VVFIN,_,1,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Sie wollte nicht , dass er sie weinen sieht .",,,,,,,,,,,,,,
1,Sie,sie,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
2,wollte,wollte,VMFIN,VMFIN,_,0,root,_,_,_,_,_,_,_
3,nicht,nicht,PTKNEG,PTKNEG,_,2,neg,_,_,_,_,_,_,_
4,",",",","$,","$,",_,2,punct,_,_,_,_,_,_,_
5,dass,dass,KOUS,KOUS,_,9,mark,_,_,_,_,_,_,_
6,er,er,PPER,PPER,_,9,nsubj,_,_,_,_,_,_,_
7,sie,sie,PPER,PPER,_,9,nsubj,_,_,_,_,_,_,_
8,weinen,weinen,VVFIN,VVFIN,_,9,dobj,_,_,_,_,_,_,_
9,sieht,sieht,VVFIN,VVFIN,_,2,ccomp,_,_,_,_,_,_,_
10,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Sie war eine so stolze Blume ...,,,,,,,,,,,,,,
1,Sie,sie,PPER,PPER,_,6,nsubj,_,_,_,_,_,_,_
2,war,war,VAFIN,VAFIN,_,6,cop,_,_,_,_,_,_,_
3,eine,eine,ART,ART,_,6,det,_,_,_,_,_,_,_
4,so,so,ADV,ADV,_,5,advmod,_,_,_,_,_,_,_
5,stolze,stolze,ADJA,ADJA,_,6,amod,_,_,_,_,_,_,_
6,Blume,blume,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
7,...,...,$[,$[,_,6,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = ##,,,,,,,,,,,,,,
1,##,##,XY,XY,_,0,root,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Kapitel X,,,,,,,,,,,,,,
1,Kapitel,kapitel,XY,XY,_,0,root,_,_,_,_,_,_,_
2,X,x,XY,XY,_,1,appos,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Er befand sich in der Gegend der Asteroiden 325 , 326 , 327 , 328 , 329 und 330 .",,,,,,,,,,,,,,
1,Er,er,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
2,befand,befand,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,sich,sich,PRF,PRF,_,2,dobj,_,_,_,_,_,_,_
4,in,in,APPR,APPR,_,6,case,_,_,_,_,in,p.Locus,p.Locus
5,der,der,ART,ART,_,6,det,_,_,_,_,_,_,_
6,Gegend,gegend,NOUN,NN,Number=Sing,2,nmod,_,_,_,_,_,_,_
7,der,der,ART,ART,_,9,det,_,_,_,_,_,_,_
8,Asteroiden,asteroiden,NOUN,NN,Number=Sing,9,amod,_,_,_,_,_,_,_
9,325,325,CARD,CARD,_,6,det,_,_,_,_,_,_,_
10,",",",","$,","$,",_,9,punct,_,_,_,_,_,_,_
11,326,326,CARD,CARD,_,9,conj,_,_,_,_,_,_,_
12,",",",","$,","$,",_,9,punct,_,_,_,_,_,_,_
13,327,327,CARD,CARD,_,9,conj,_,_,_,_,_,_,_
14,",",",","$,","$,",_,9,punct,_,_,_,_,_,_,_
15,328,328,CARD,CARD,_,9,conj,_,_,_,_,_,_,_
16,",",",","$,","$,",_,9,punct,_,_,_,_,_,_,_
17,329,329,CARD,CARD,_,9,conj,_,_,_,_,_,_,_
18,und,und,KON,KON,_,9,cc,_,_,_,_,_,_,_
19,330,330,CARD,CARD,_,9,conj,_,_,_,_,_,_,_
20,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = So begann er , ihnen einen Besuch abzustatten , um sich zu beschäftigen und sich schlau zu machen .",,,,,,,,,,,,,,
1,So,so,ADV,ADV,_,2,advmod,_,_,_,_,_,_,_
2,begann,begann,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,er,er,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
4,",",",","$,","$,",_,2,punct,_,_,_,_,_,_,_
5,ihnen,ihnen,PPER,PPER,_,8,iobj,_,_,_,_,ihnen,p.Goal,p.Goal
6,einen,einen,ART,ART,_,7,det,_,_,_,_,_,_,_
7,Besuch,besuch,NOUN,NN,Number=Sing,8,dobj,_,_,_,_,_,_,_
8,abzustatten,abzustatten,VVFIN,VVFIN,_,2,xcomp,_,_,_,_,_,_,_
9,",",",","$,","$,",_,8,punct,_,_,_,_,_,_,_
10,um,um,KOUI,KOUI,_,13,mark,_,_,1:1,_,um zu,p.Purpose,p.Purpose
11,sich,sich,PRF,PRF,_,13,dobj,_,_,_,_,_,_,_
12,zu,zu,PTKZU,PTKZU,_,13,aux,_,_,1:2,_,_,_,_
13,beschäftigen,beschäftigen,VVINF,VVINF,_,8,advcl,_,_,_,_,_,_,_
14,und,und,KON,KON,_,13,cc,_,_,_,_,_,_,_
15,sich,sich,PRF,PRF,_,18,dobj,_,_,_,_,_,_,_
16,schlau,schlau,ADJD,ADJD,_,18,xcomp,_,_,_,_,_,_,_
17,zu,zu,PTKZU,PTKZU,_,18,aux,_,_,_,_,_,_,_
18,machen,machen,VVINF,VVINF,_,13,conj,_,_,_,_,_,_,_
19,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Auf dem ersten lebte ein König .,,,,,,,,,,,,,,
1,Auf,auf,APPR,APPR,_,4,case,_,_,_,_,auf,p.Locus,p.Locus
2,dem,dem,ART,ART,_,4,det,_,_,_,_,_,_,_
3,ersten,ersten,ADJA,ADJA,_,4,amod,_,_,_,_,_,_,_
4,lebte,lebte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
5,ein,ein,ART,ART,_,6,det,_,_,_,_,_,_,_
6,König,könig,NOUN,NN,Number=Sing,4,nsubj,_,_,_,_,_,_,_
7,.,.,$.,$.,_,4,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Der König saß in Purpur und Hermelin gekleidet auf einem Thron , der schlicht aber majestätisch war .",,,,,,,,,,,,,,
1,Der,der,ART,ART,_,2,det,_,_,_,_,_,_,_
2,König,könig,NOUN,NN,Number=Sing,3,nsubj,_,_,_,_,_,_,_
3,saß,saß,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
4,in,in,APPR,APPR,_,5,case,_,_,_,_,in,p.Manner,p.Manner
5,Purpur,purpur,NE,NE,_,3,nmod,_,_,_,_,_,_,_
6,und,und,KON,KON,_,5,cc,_,_,_,_,_,_,_
7,Hermelin,hermelin,NE,NE,_,5,conj,_,_,_,_,_,_,_
8,gekleidet,gekleidet,VVPP,VVPP,_,3,advmod,_,_,_,_,_,_,_
9,auf,auf,APPR,APPR,_,11,case,_,_,_,_,auf,p.Locus,p.Locus
10,einem,einem,ART,ART,_,11,det,_,_,_,_,_,_,_
11,Thron,thron,NOUN,NN,Number=Sing,3,nmod,_,_,_,_,_,_,_
12,",",",","$,","$,",_,11,punct,_,_,_,_,_,_,_
13,der,der,PRELS,PRELS,_,16,nsubj,_,_,_,_,_,_,_
14,schlicht,schlicht,ADJD,ADJD,_,16,advmod,_,_,_,_,_,_,_
15,aber,aber,ADV,ADV,_,16,advmod,_,_,_,_,_,_,_
16,majestätisch,majestätisch,ADJD,ADJD,_,11,acl,_,_,_,_,_,_,_
17,war,war,VAFIN,VAFIN,_,16,cop,_,_,_,_,_,_,_
18,.,.,$.,$.,_,3,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = - `` Ah !,,,,,,,,,,,,,,
1,-,-,$[,$[,_,3,punct,_,_,_,_,_,_,_
2,``,``,VVFIN,VVFIN,_,3,punct,_,_,_,_,_,_,_
3,Ah,ah,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
4,!,!,$.,$.,_,3,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Ein Untertan '' , freute er sich , als er den kleinen Prinzen sah .",,,,,,,,,,,,,,
1,Ein,ein,ART,ART,_,2,det,_,_,_,_,_,_,_
2,Untertan,untertan,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
3,'','',NE,NE,_,2,punct,_,_,_,_,_,_,_
4,",",",","$,","$,",_,2,punct,_,_,_,_,_,_,_
5,freute,freute,VVFIN,VVFIN,_,14,mark,_,_,_,_,_,_,_
6,er,er,PPER,PPER,_,14,nsubj,_,_,_,_,_,_,_
7,sich,sich,PRF,PRF,_,14,dobj,_,_,_,_,_,_,_
8,",",",","$,","$,",_,14,punct,_,_,_,_,_,_,_
9,als,als,KOUS,KOUS,_,14,mark,_,_,_,_,als,p.Time,p.Time
10,er,er,PPER,PPER,_,14,nsubj,_,_,_,_,_,_,_
11,den,den,ART,ART,_,13,det,_,_,_,_,_,_,_
12,kleinen,kleinen,ADJA,ADJA,_,13,amod,_,_,_,_,_,_,_
13,Prinzen,prinzen,NOUN,NN,Number=Sing,14,dobj,_,_,_,_,_,_,_
14,sah,sah,VVFIN,VVFIN,_,2,ccomp,_,_,_,_,_,_,_
15,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Und der kleine Prinz fragte : - `` Wie kommt es , dass Sie mich kennen .",,,,,,,,,,,,,,
1,Und,und,KON,KON,_,5,cc,_,_,_,_,_,_,_
2,der,der,ART,ART,_,4,det,_,_,_,_,_,_,_
3,kleine,kleine,ADJA,ADJA,_,4,amod,_,_,_,_,_,_,_
4,Prinz,prinz,NOUN,NN,Number=Sing,5,nsubj,_,_,_,_,_,_,_
5,fragte,fragte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
6,:,:,$.,$.,_,5,punct,_,_,_,_,_,_,_
7,-,-,$[,$[,_,10,punct,_,_,_,_,_,_,_
8,``,``,ADV,ADV,_,10,punct,_,_,_,_,_,_,_
9,Wie,wie,PWAV,PWAV,_,10,advmod,_,_,_,_,wie,p.Manner,p.Manner
10,kommt,kommt,VVFIN,VVFIN,_,5,appos,_,_,_,_,_,_,_
11,es,es,PPER,PPER,_,10,nsubj,_,_,_,_,_,_,_
12,",",",","$,","$,",_,10,punct,_,_,_,_,_,_,_
13,dass,dass,KOUS,KOUS,_,16,mark,_,_,_,_,_,_,_
14,Sie,sie,PPER,PPER,_,16,nsubj,_,_,_,_,_,_,_
15,mich,mich,PPER,PPER,_,16,dobj,_,_,_,_,_,_,_
16,kennen,kennen,VVFIN,VVFIN,_,10,ccomp,_,_,_,_,_,_,_
17,.,.,$.,$.,_,5,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Sie haben mich noch nie zuvor gesehen ! '',,,,,,,,,,,,,,
1,Sie,sie,PPER,PPER,_,7,nsubj,_,_,_,_,_,_,_
2,haben,haben,VAFIN,VAFIN,_,7,aux,_,_,_,_,_,_,_
3,mich,mich,PRF,PRF,_,7,dobj,_,_,_,_,_,_,_
4,noch,noch,ADV,ADV,_,5,advmod,_,_,_,_,_,_,_
5,nie,nie,ADV,ADV,_,7,neg,_,_,_,_,_,_,_
6,zuvor,zuvor,ADV,ADV,_,7,advmod,_,_,_,_,_,_,_
7,gesehen,gesehen,VVPP,VVPP,_,0,root,_,_,_,_,_,_,_
8,!,!,$.,$.,_,7,punct,_,_,_,_,_,_,_
9,'','',VVPP,VVPP,_,7,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Er wusste nicht , dass die Welt für Könige sehr einfach ist : Alle Menschen sind Untertanen .",,,,,,,,,,,,,,
1,Er,er,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
2,wusste,wusste,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,nicht,nicht,PTKNEG,PTKNEG,_,2,neg,_,_,_,_,_,_,_
4,",",",","$,","$,",_,2,punct,_,_,_,_,_,_,_
5,dass,dass,KOUS,KOUS,_,12,mark,_,_,_,_,_,_,_
6,die,die,ART,ART,_,7,det,_,_,_,_,_,_,_
7,Welt,welt,NOUN,NN,Number=Sing,12,nsubj,_,_,_,_,_,_,_
8,für,für,APPR,APPR,_,9,case,_,_,_,_,für,p.Goal,p.Beneficiary
9,Könige,könige,NOUN,NN,Number=Sing,12,nmod,_,_,_,_,_,_,_
10,sehr,sehr,ADV,ADV,_,11,advmod,_,_,_,_,_,_,_
11,einfach,einfach,ADJD,ADJD,_,12,advmod,_,_,_,_,_,_,_
12,ist,ist,VAFIN,VAFIN,_,2,ccomp,_,_,_,_,_,_,_
13,:,:,$.,$.,_,12,punct,_,_,_,_,_,_,_
14,Alle,alle,PIDAT,PIDAT,_,15,det,_,_,_,_,_,_,_
15,Menschen,menschen,NOUN,NN,Number=Sing,17,nsubj,_,_,_,_,_,_,_
16,sind,sind,VAFIN,VAFIN,_,17,cop,_,_,_,_,_,_,_
17,Untertanen,untertanen,NOUN,NN,Number=Sing,12,parataxis,_,_,_,_,_,_,_
18,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = - `` Komm mal näher heran , damit ich dich besser sehen kann '' , sagte der König , ganz stolz darauf , jemandes König sein zu können .",,,,,,,,,,,,,,
1,-,-,$[,$[,_,3,punct,_,_,_,_,_,_,_
2,``,``,ADV,ADV,_,3,punct,_,_,_,_,_,_,_
3,Komm,komm,VVIMP,VVIMP,_,16,nsubj,_,_,_,_,_,_,_
4,mal,mal,ADV,ADV,_,3,advmod,_,_,_,_,_,_,_
5,näher,näher,PTKVZ,PTKVZ,_,6,advmod,_,_,_,_,_,_,_
6,heran,heran,PTKVZ,PTKVZ,_,3,advmod,_,_,_,_,_,_,_
7,",",",","$,","$,",_,3,punct,_,_,_,_,_,_,_
8,damit,damit,KOUS,KOUS,_,12,advmod,_,_,_,_,damit,p.Purpose,p.Co-Theme
9,ich,ich,PPER,PPER,_,12,nsubj,_,_,_,_,_,_,_
10,dich,dich,PRF,PRF,_,12,dobj,_,_,_,_,_,_,_
11,besser,besser,ADJD,ADJD,_,12,advmod,_,_,_,_,_,_,_
12,sehen,sehen,VVINF,VVINF,_,3,acl,_,_,_,_,_,_,_
13,kann,kann,VMFIN,VMFIN,_,12,aux,_,_,_,_,_,_,_
14,'','',ADV,ADV,_,12,punct,_,_,_,_,_,_,_
15,",",",","$,","$,",_,3,punct,_,_,_,_,_,_,_
16,sagte,sagte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
17,der,der,ART,ART,_,18,det,_,_,_,_,_,_,_
18,König,könig,NOUN,NN,Number=Sing,16,iobj,_,_,_,_,_,_,_
19,",",",","$,","$,",_,18,punct,_,_,_,_,_,_,_
20,ganz,ganz,ADV,ADV,_,21,advmod,_,_,_,_,_,_,_
21,stolz,stolz,ADJD,ADJD,_,18,conj,_,_,_,_,_,_,_
22,darauf,darauf,PROAV,PROAV,_,21,advmod,_,_,_,_,darauf,p.Topic,p.Topic
23,",",",","$,","$,",_,18,punct,_,_,_,_,_,_,_
24,jemandes,jemandes,ADJA,ADJA,_,25,amod,_,_,_,_,_,_,_
25,König,könig,NOUN,NN,Number=Sing,18,conj,_,_,_,_,_,_,_
26,sein,sein,VAINF,VAINF,_,16,mark,_,_,_,_,_,_,_
27,zu,zu,PTKZU,PTKZU,_,28,aux,_,_,_,_,_,_,_
28,können,können,VMINF,VMINF,_,26,aux,_,_,_,_,_,_,_
29,.,.,$.,$.,_,16,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Der kleine Prinz schaute sich nach einer Sitzgelegenheit um , doch der herrliche Hermelinmantel nahm den ganzen Planten ein .",,,,,,,,,,,,,,
1,Der,der,ART,ART,_,3,det,_,_,_,_,_,_,_
2,kleine,kleine,ADJA,ADJA,_,3,amod,_,_,_,_,_,_,_
3,Prinz,prinz,NOUN,NN,Number=Sing,4,nsubj,_,_,_,_,_,_,_
4,schaute,schaute,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
5,sich,sich,PRF,PRF,_,4,dobj,_,_,_,_,_,_,_
6,nach,nach,APPR,APPR,_,8,case,_,_,_,_,nach,p.Stimulus,p.Goal
7,einer,einer,ART,ART,_,8,det,_,_,_,_,_,_,_
8,Sitzgelegenheit,sitzgelegenheit,NOUN,NN,Number=Sing,4,nmod,_,_,_,_,_,_,_
9,um,um,PTKVZ,PTKVZ,_,4,mark,_,_,_,_,um,p.Manner,p.Goal
10,",",",","$,","$,",_,4,punct,_,_,_,_,_,_,_
11,doch,doch,KON,KON,_,15,advmod,_,_,_,_,_,_,_
12,der,der,ART,ART,_,14,det,_,_,_,_,_,_,_
13,herrliche,herrliche,ADJA,ADJA,_,14,amod,_,_,_,_,_,_,_
14,Hermelinmantel,hermelinmantel,NOUN,NN,Number=Sing,15,nsubj,_,_,_,_,_,_,_
15,nahm,nahm,VVFIN,VVFIN,_,4,ccomp,_,_,_,_,_,_,_
16,den,den,ART,ART,_,18,det,_,_,_,_,_,_,_
17,ganzen,ganzen,ADJA,ADJA,_,18,amod,_,_,_,_,_,_,_
18,Planten,planten,NOUN,NN,Number=Sing,15,dobj,_,_,_,_,_,_,_
19,ein,ein,PTKVZ,PTKVZ,_,15,mark,_,_,_,_,_,_,_
20,.,.,$.,$.,_,4,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = So blieb er stehen , doch vor Müdigkeit musste er gähnen .",,,,,,,,,,,,,,
